epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,528.89,1.20566,12.1317,0.00163,0.00382,0.13144,0.02186,0.02067,0.86128,9.28185,0.00155,6.9225e-05,6.9225e-05,6.9225e-05
2,560.042,1.05895,8.20785,0.00138,0.71119,0.07035,0.07709,0.06216,0.77654,6.80279,0.00145,0.000138837,0.000138837,0.000138837
3,591.253,1.01006,5.60875,0.00128,0.60318,0.17888,0.1479,0.11768,0.82931,5.04931,0.0015,0.000207043,0.000207043,0.000207043
4,622.464,1.03043,4.27794,0.00128,0.57699,0.24234,0.20029,0.16312,0.75868,3.96861,0.00138,0.000206674,0.000206674,0.000206674
5,653.588,0.93003,3.34063,0.0012,0.56889,0.26386,0.25369,0.21136,0.71548,3.31603,0.00133,0.000204565,0.000204565,0.000204565
6,684.692,0.94165,2.88246,0.0012,0.47968,0.31218,0.31354,0.25979,0.7023,2.93895,0.00128,0.000202457,0.000202457,0.000202457
7,715.715,0.86022,2.41973,0.00109,0.41923,0.37649,0.37004,0.29828,0.75877,2.58101,0.00134,0.000200348,0.000200348,0.000200348
8,746.899,0.85962,2.07606,0.00109,0.37178,0.45287,0.38552,0.31859,0.78356,2.28894,0.00146,0.000198239,0.000198239,0.000198239
9,778.058,0.89899,1.98421,0.00116,0.48492,0.41034,0.45923,0.39237,0.66842,2.06696,0.00124,0.00019613,0.00019613,0.00019613
10,809.23,0.85935,1.68586,0.00107,0.52836,0.51116,0.50883,0.43263,0.72218,2.00193,0.00131,0.000194022,0.000194022,0.000194022
11,840.406,0.82917,1.53801,0.00104,0.72019,0.39201,0.54268,0.45162,0.69019,1.77882,0.00125,0.000191913,0.000191913,0.000191913
12,871.584,0.83426,1.42691,0.00101,0.53428,0.47645,0.53005,0.43325,0.78542,1.74212,0.0014,0.000189804,0.000189804,0.000189804
13,902.597,0.7961,1.26263,0.00104,0.59924,0.53533,0.5527,0.46356,0.72103,1.63596,0.00133,0.000187696,0.000187696,0.000187696
