epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,74.2801,1.77457,10.8486,0.0028,0,0,0,0,1.3348,9.55424,0.00266,6.9225e-05,6.9225e-05,6.9225e-05
2,89.17,1.60947,9.90825,0.00228,0,0,0,0,1.17521,9.1588,0.00217,0.000138837,0.000138837,0.000138837
3,103.379,1.53911,8.96142,0.00212,0.01541,0.16652,0.01498,0.01129,1.12962,8.50441,0.00209,0.000207043,0.000207043,0.000207043
4,117.595,1.52173,8.35332,0.00204,0.0085,0.29498,0.02831,0.02124,1.18913,7.99843,0.00219,0.000206674,0.000206674,0.000206674
5,131.729,1.40547,7.61718,0.00194,0.43472,0.0668,0.0414,0.03006,1.21011,7.57658,0.00227,0.000204565,0.000204565,0.000204565
6,146.04,1.45621,7.50092,0.00196,0.42243,0.07211,0.05006,0.03709,1.15222,7.27149,0.00208,0.000202457,0.000202457,0.000202457
7,160.353,1.3701,7.14292,0.00182,0.45143,0.08064,0.05873,0.04455,1.16331,7.01297,0.00212,0.000200348,0.000200348,0.000200348
8,174.609,1.35272,6.81233,0.00181,0.49632,0.08556,0.07973,0.06121,1.16322,6.79462,0.00215,0.000198239,0.000198239,0.000198239
9,188.813,1.37192,6.98947,0.00184,0.56352,0.09464,0.11199,0.08913,1.07875,6.46202,0.00201,0.00019613,0.00019613,0.00019613
10,203.061,1.35889,6.68743,0.0018,0.40362,0.14819,0.11819,0.09255,1.12902,6.34144,0.00207,0.000194022,0.000194022,0.000194022
11,217.328,1.2854,6.14438,0.0017,0.46098,0.12149,0.12859,0.09891,1.08864,6.15275,0.00201,0.000191913,0.000191913,0.000191913
12,231.826,1.33028,6.17309,0.00173,0.49718,0.1614,0.14032,0.11222,1.10473,5.99979,0.00204,0.000189804,0.000189804,0.000189804
13,246.322,1.23842,5.92938,0.00166,0.45393,0.14341,0.15803,0.12691,1.08773,5.90597,0.00206,0.000187696,0.000187696,0.000187696
14,260.889,1.2143,5.7187,0.00163,0.44434,0.18129,0.19158,0.14949,1.05766,5.67972,0.00195,0.000185587,0.000185587,0.000185587
15,275.313,1.27824,5.6836,0.00168,0.46825,0.19452,0.19108,0.14977,1.07187,5.54093,0.00197,0.000183478,0.000183478,0.000183478
16,289.855,1.20631,5.34404,0.00162,0.54983,0.17803,0.20951,0.16077,1.0933,5.36979,0.00203,0.000181369,0.000181369,0.000181369
17,304.593,1.24325,5.25778,0.00163,0.50747,0.20379,0.22449,0.17545,1.04507,5.24747,0.00196,0.000179261,0.000179261,0.000179261
18,319.049,1.22775,5.18082,0.00162,0.43865,0.21967,0.23879,0.18378,1.05878,5.16352,0.002,0.000177152,0.000177152,0.000177152
19,333.616,1.24215,5.16467,0.00158,0.44237,0.23155,0.24397,0.18821,1.07198,5.07149,0.002,0.000175043,0.000175043,0.000175043
20,348.039,1.15443,4.79995,0.00155,0.47916,0.22253,0.23945,0.18614,1.03733,4.95416,0.00194,0.000172935,0.000172935,0.000172935
21,362.256,1.25775,5.04077,0.00157,0.47044,0.22838,0.23878,0.18152,1.07887,4.87249,0.00198,0.000170826,0.000170826,0.000170826
22,376.546,1.21779,4.67724,0.00157,0.46635,0.29673,0.24364,0.1905,1.03367,4.80939,0.00193,0.000168717,0.000168717,0.000168717
23,390.788,1.20653,4.59597,0.00154,0.52514,0.26319,0.24495,0.18707,1.07246,4.75562,0.002,0.000166609,0.000166609,0.000166609
24,405.169,1.18307,4.62195,0.00155,0.50215,0.25902,0.25536,0.19462,1.06399,4.65304,0.00199,0.0001645,0.0001645,0.0001645
25,419.415,1.19421,4.4039,0.00157,0.45966,0.26145,0.25978,0.20361,1.0553,4.54267,0.00196,0.000162391,0.000162391,0.000162391
26,433.735,1.13317,4.35256,0.00152,0.51366,0.22759,0.26907,0.20853,1.02789,4.42945,0.0019,0.000160282,0.000160282,0.000160282
27,447.976,1.20433,4.23805,0.0015,0.57821,0.23169,0.27538,0.21923,1.02987,4.36563,0.0019,0.000158174,0.000158174,0.000158174
28,462.141,1.19503,4.08479,0.00149,0.58201,0.21225,0.27871,0.21914,1.05645,4.36411,0.00197,0.000156065,0.000156065,0.000156065
29,476.53,1.17754,4.00213,0.00148,0.55186,0.22498,0.28145,0.22179,1.00544,4.23058,0.00185,0.000153956,0.000153956,0.000153956
30,490.754,1.16428,3.98262,0.00151,0.45034,0.28223,0.29073,0.22168,1.00687,4.20914,0.00183,0.000151848,0.000151848,0.000151848
31,504.918,1.1774,3.95615,0.00148,0.54572,0.21467,0.28553,0.21753,1.00122,4.10607,0.00181,0.000149739,0.000149739,0.000149739
32,519.122,1.11725,3.8685,0.00147,0.6069,0.22259,0.29758,0.22951,1.01359,4.02712,0.00184,0.00014763,0.00014763,0.00014763
33,533.353,1.14216,3.6879,0.00144,0.54054,0.2484,0.30079,0.2327,1.02448,3.94095,0.0019,0.000145522,0.000145522,0.000145522
34,547.617,1.1374,3.76885,0.00146,0.53794,0.28882,0.30847,0.2416,0.9843,3.85069,0.00181,0.000143413,0.000143413,0.000143413
35,562.509,1.17842,3.68858,0.00144,0.65937,0.22585,0.29392,0.23215,0.97875,3.80846,0.0018,0.000141304,0.000141304,0.000141304
36,576.808,1.08497,3.52235,0.00143,0.45403,0.2845,0.28381,0.22566,0.99314,3.83858,0.00183,0.000139196,0.000139196,0.000139196
37,591.017,1.12171,3.48061,0.00141,0.53972,0.27354,0.30516,0.23375,1.01384,3.74314,0.00185,0.000137087,0.000137087,0.000137087
38,605.262,1.13391,3.4557,0.00146,0.54152,0.26751,0.30958,0.24068,0.9855,3.64987,0.00181,0.000134978,0.000134978,0.000134978
39,619.421,1.13076,3.35092,0.00139,0.61608,0.22895,0.30004,0.23129,1.01207,3.66721,0.00185,0.000132869,0.000132869,0.000132869
40,633.695,1.14021,3.2827,0.00142,0.66951,0.21976,0.30127,0.23468,0.9894,3.63364,0.00179,0.000130761,0.000130761,0.000130761
41,648.014,1.05724,3.28103,0.00136,0.67404,0.19723,0.29706,0.22914,0.98831,3.60334,0.00178,0.000128652,0.000128652,0.000128652
42,662.204,1.08513,3.26434,0.0014,0.65227,0.23663,0.30275,0.23026,0.99258,3.51156,0.00179,0.000126543,0.000126543,0.000126543
43,676.494,1.07845,3.05759,0.00136,0.49794,0.31484,0.30906,0.23448,1.00821,3.45979,0.00182,0.000124435,0.000124435,0.000124435
44,690.746,1.05741,3.03517,0.00138,0.59566,0.2727,0.31199,0.24127,0.96665,3.41156,0.00173,0.000122326,0.000122326,0.000122326
45,705.044,1.12918,3.05573,0.00141,0.45439,0.31018,0.31611,0.24037,0.96817,3.33376,0.00172,0.000120217,0.000120217,0.000120217
46,719.358,1.10691,3.00131,0.00138,0.48859,0.32725,0.31951,0.2465,0.97407,3.29925,0.00178,0.000118108,0.000118108,0.000118108
47,733.61,1.07791,2.90382,0.00134,0.61463,0.23171,0.30421,0.23796,0.96604,3.32055,0.00176,0.000116,0.000116,0.000116
48,747.876,1.10195,2.94533,0.00134,0.70227,0.21919,0.30515,0.24103,0.98146,3.23453,0.00177,0.000113891,0.000113891,0.000113891
49,762.101,1.0635,2.83252,0.00133,0.70731,0.23812,0.31771,0.2475,0.99647,3.22364,0.00179,0.000111782,0.000111782,0.000111782
50,776.387,1.06653,2.81652,0.00134,0.69389,0.23981,0.31504,0.24769,0.96064,3.13858,0.00174,0.000109674,0.000109674,0.000109674
51,790.708,1.05534,2.65829,0.00131,0.65153,0.24774,0.32333,0.25168,0.97679,3.10142,0.00177,0.000107565,0.000107565,0.000107565
52,805.1,1.0761,2.69992,0.0014,0.59176,0.26422,0.3357,0.2619,0.98436,3.09673,0.00181,0.000105456,0.000105456,0.000105456
53,819.355,1.05554,2.65077,0.00134,0.57485,0.29064,0.35789,0.27418,0.96738,3.0517,0.00176,0.000103348,0.000103348,0.000103348
54,833.651,1.05777,2.61245,0.00132,0.62257,0.26429,0.33722,0.25647,0.98159,3.03263,0.00179,0.000101239,0.000101239,0.000101239
55,847.958,1.04901,2.58881,0.00131,0.55801,0.30148,0.36738,0.27909,0.96784,3.0227,0.00177,9.91302e-05,9.91302e-05,9.91302e-05
56,862.196,1.04545,2.4722,0.00128,0.52328,0.3549,0.3422,0.26729,0.93755,2.9511,0.00172,9.70215e-05,9.70215e-05,9.70215e-05
57,876.525,1.08313,2.47023,0.00134,0.69099,0.25391,0.33515,0.26544,0.94797,2.96195,0.00174,9.49128e-05,9.49128e-05,9.49128e-05
58,890.764,1.08339,2.49661,0.00131,0.5127,0.32648,0.34141,0.26302,0.9597,2.92617,0.00173,9.28041e-05,9.28041e-05,9.28041e-05
59,905.012,1.05186,2.44091,0.00133,0.58107,0.29615,0.34213,0.26158,0.9725,2.91586,0.00176,9.06954e-05,9.06954e-05,9.06954e-05
60,919.277,1.04635,2.41342,0.00129,0.49372,0.32282,0.33066,0.25721,0.96839,2.92852,0.00177,8.85867e-05,8.85867e-05,8.85867e-05
61,933.484,1.09961,2.4778,0.00136,0.50317,0.32694,0.35539,0.26975,0.9561,2.87329,0.00179,8.6478e-05,8.6478e-05,8.6478e-05
62,947.827,1.03781,2.3903,0.00129,0.45094,0.3283,0.34399,0.2642,0.96863,2.87183,0.00178,8.43693e-05,8.43693e-05,8.43693e-05
63,962.088,1.04766,2.39142,0.0013,0.47601,0.32826,0.33233,0.261,0.95365,2.85104,0.00176,8.22606e-05,8.22606e-05,8.22606e-05
64,976.325,1.08868,2.3105,0.00129,0.62227,0.27469,0.33569,0.25658,0.94339,2.82754,0.00172,8.01519e-05,8.01519e-05,8.01519e-05
65,990.603,1.10253,2.3727,0.00133,0.60502,0.28297,0.3396,0.26545,0.9283,2.79952,0.00169,7.80432e-05,7.80432e-05,7.80432e-05
66,1004.91,1.02909,2.31491,0.00126,0.61798,0.27024,0.3417,0.26708,0.95369,2.79207,0.00172,7.59345e-05,7.59345e-05,7.59345e-05
67,1019.17,0.97526,2.26389,0.00125,0.54666,0.29939,0.33444,0.26292,0.9531,2.75227,0.00173,7.38258e-05,7.38258e-05,7.38258e-05
68,1033.5,1.06355,2.23132,0.00129,0.57368,0.29138,0.34094,0.26377,0.95181,2.74975,0.00175,7.17171e-05,7.17171e-05,7.17171e-05
69,1047.65,1.0196,2.1502,0.0013,0.66947,0.2782,0.34507,0.27164,0.9269,2.70845,0.00169,6.96084e-05,6.96084e-05,6.96084e-05
70,1061.8,0.9751,2.16445,0.00125,0.57806,0.29814,0.34766,0.2696,0.95725,2.69383,0.00175,6.74997e-05,6.74997e-05,6.74997e-05
71,1077.22,1.00192,2.14255,0.00125,0.58336,0.31839,0.35243,0.27392,0.93725,2.67903,0.0017,6.5391e-05,6.5391e-05,6.5391e-05
72,1091.37,1.02007,2.16217,0.00127,0.5434,0.33179,0.35116,0.27239,0.95027,2.69087,0.00172,6.32823e-05,6.32823e-05,6.32823e-05
73,1105.61,1.02057,2.13825,0.00128,0.60115,0.28991,0.35396,0.27395,0.9426,2.71732,0.00171,6.11736e-05,6.11736e-05,6.11736e-05
74,1119.91,1.01943,2.16571,0.00127,0.56884,0.32992,0.35231,0.27599,0.94212,2.67246,0.0017,5.90649e-05,5.90649e-05,5.90649e-05
75,1134.13,1.00887,2.06717,0.00125,0.52518,0.33505,0.35652,0.28025,0.93315,2.63951,0.00169,5.69562e-05,5.69562e-05,5.69562e-05
76,1148.39,1.00486,2.13015,0.00124,0.61095,0.27382,0.36121,0.28425,0.92243,2.6422,0.00168,5.48475e-05,5.48475e-05,5.48475e-05
77,1162.63,1.06148,2.13077,0.00126,0.54898,0.30989,0.35667,0.27814,0.95042,2.62934,0.00172,5.27388e-05,5.27388e-05,5.27388e-05
78,1176.92,1.01936,2.09934,0.00121,0.56817,0.33197,0.35923,0.27691,0.95076,2.61668,0.00172,5.06301e-05,5.06301e-05,5.06301e-05
79,1191.18,0.98967,2.0498,0.00124,0.61182,0.29279,0.36301,0.28453,0.93792,2.59337,0.0017,4.85214e-05,4.85214e-05,4.85214e-05
80,1205.42,1.00569,2.04549,0.00121,0.60136,0.29821,0.35944,0.28047,0.93684,2.61806,0.00171,4.64127e-05,4.64127e-05,4.64127e-05
81,1219.67,1.00125,2.03558,0.00124,0.60383,0.30091,0.35877,0.27805,0.93809,2.6179,0.0017,4.4304e-05,4.4304e-05,4.4304e-05
82,1233.78,0.96413,1.98006,0.00124,0.60902,0.30645,0.35702,0.27918,0.94425,2.58963,0.0017,4.21953e-05,4.21953e-05,4.21953e-05
83,1247.98,1.02809,2.07583,0.00127,0.62296,0.30008,0.35878,0.28078,0.9314,2.57315,0.00169,4.00866e-05,4.00866e-05,4.00866e-05
84,1262.22,0.97789,2.03254,0.00122,0.6572,0.28052,0.36446,0.28366,0.93816,2.5758,0.00171,3.79779e-05,3.79779e-05,3.79779e-05
85,1276.5,0.97721,2.07365,0.00125,0.6088,0.28559,0.36512,0.28466,0.93827,2.56647,0.00171,3.58692e-05,3.58692e-05,3.58692e-05
86,1290.75,1.03156,2.00777,0.00126,0.60371,0.28699,0.3685,0.2878,0.93497,2.56526,0.00169,3.37605e-05,3.37605e-05,3.37605e-05
