epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,291.879,1.81759,1.52576,0.00157,0.87246,0.48811,0.67485,0.52363,1.32716,1.28595,0.00155,0.000507909,0.000507909,0.0668715
2,375.614,1.70316,1.25717,0.00145,0.73228,0.65489,0.68916,0.54519,1.25683,1.21266,0.00147,0.00101188,0.00101188,0.0335573
3,459.223,1.67164,1.27955,0.00142,0.65949,0.62836,0.68494,0.54623,1.17537,1.17453,0.00158,0.00148748,0.00148748,0.00166929
4,542.969,1.624,1.27023,0.00135,0.79278,0.65338,0.72367,0.54099,1.40377,1.1015,0.00172,0.00148028,0.00148028,0.00148028
5,626.884,1.68113,1.33768,0.00141,0.75637,0.5875,0.73272,0.58307,1.18769,0.99096,0.00136,0.00147037,0.00147037,0.00147037
6,710.781,1.60886,1.18146,0.00131,0.86495,0.61537,0.75634,0.61045,1.12726,0.96139,0.00141,0.00146046,0.00146046,0.00146046
7,795.158,1.55734,1.17023,0.00128,0.82003,0.62494,0.7189,0.54101,1.39223,0.97192,0.00175,0.00145055,0.00145055,0.00145055
8,879.287,1.58515,1.1309,0.00129,0.71423,0.66933,0.73246,0.61456,1.06771,0.97206,0.00134,0.00144065,0.00144065,0.00144065
9,963.944,1.56981,1.13988,0.00126,0.84762,0.58923,0.75584,0.62526,1.1012,0.85045,0.00123,0.00143074,0.00143074,0.00143074
10,1048.68,1.55803,1.08124,0.00124,0.63336,0.66718,0.72631,0.57205,1.25678,1.05952,0.00152,0.00142083,0.00142083,0.00142083
11,1132.94,1.52984,1.12838,0.0012,0.76024,0.67101,0.75023,0.63374,1.00201,0.89372,0.00118,0.00141092,0.00141092,0.00141092
12,1216.84,1.44231,0.99922,0.0011,0.80679,0.65245,0.77678,0.66289,0.96238,0.85872,0.00113,0.00140102,0.00140102,0.00140102
13,1300.68,1.52882,1.10277,0.00125,0.79748,0.6884,0.76216,0.63761,1.0589,0.85149,0.00123,0.00139111,0.00139111,0.00139111
14,1384.37,1.44319,0.97355,0.00117,0.70956,0.70702,0.76007,0.61285,1.14652,0.93049,0.00128,0.0013812,0.0013812,0.0013812
15,1468.28,1.51562,1.05808,0.00121,0.92981,0.6699,0.77525,0.64238,1.11529,0.78775,0.00155,0.00137129,0.00137129,0.00137129
16,1552.9,1.48143,0.98921,0.00114,0.80915,0.71531,0.77681,0.65696,0.9728,0.80572,0.0011,0.00136139,0.00136139,0.00136139
