epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1379,2.24364,12.9942,0.0021,0.03414,0.01823,0.0092,0.00653,2.08007,7.49091,0.00241,0.000499068,0.000499068,0.0674482
2,42.0317,1.93712,3.83218,0.00171,0.04916,0.30184,0.09817,0.06812,1.60531,4.87457,0.00176,0.00100098,0.00100098,0.0340518
3,60.9245,1.92116,3.1212,0.00166,0.39951,0.18682,0.16923,0.1265,1.49017,3.15839,0.00156,0.00146773,0.00146773,0.00231519
4,79.7065,1.79502,2.69135,0.00156,0.47072,0.23072,0.20578,0.15321,1.4844,2.96294,0.00163,0.00146542,0.00146542,0.00146542
5,98.5845,1.79781,2.3516,0.00151,0.63398,0.32881,0.30989,0.22518,1.44851,2.46458,0.00149,0.00145055,0.00145055,0.00145055
6,117.372,1.72375,2.16095,0.00143,0.61022,0.41684,0.38867,0.29428,1.45351,2.2681,0.00148,0.00143569,0.00143569,0.00143569
7,136.159,1.66985,2.07006,0.00139,0.73854,0.3029,0.3984,0.29346,1.49554,2.35965,0.00152,0.00142083,0.00142083,0.00142083
8,154.951,1.6585,1.96976,0.00139,0.59672,0.33235,0.36782,0.25989,1.55627,2.33312,0.00165,0.00140597,0.00140597,0.00140597
9,173.842,1.71998,1.90839,0.00148,0.59127,0.37726,0.41193,0.28493,1.76792,2.0035,0.0019,0.00139111,0.00139111,0.00139111
10,192.63,1.63156,1.78035,0.0014,0.55429,0.4783,0.41535,0.30737,1.57514,1.95434,0.00174,0.00137625,0.00137625,0.00137625
11,211.471,1.73681,1.70581,0.00148,0.59174,0.49427,0.4738,0.35416,1.41107,1.78134,0.00152,0.00136139,0.00136139,0.00136139
12,230.309,1.60632,1.59388,0.00136,0.49419,0.51386,0.44159,0.29842,1.81113,1.99435,0.0022,0.00134652,0.00134652,0.00134652
13,249.133,1.62108,1.57361,0.00136,0.7467,0.39605,0.47268,0.35725,1.38897,1.62581,0.00144,0.00133166,0.00133166,0.00133166
14,267.992,1.59221,1.58562,0.00134,0.51872,0.43841,0.43155,0.33069,1.3077,2.08267,0.00134,0.0013168,0.0013168,0.0013168
15,286.882,1.62079,1.57409,0.00137,0.72388,0.43623,0.53602,0.40397,1.40445,1.73777,0.00154,0.00130194,0.00130194,0.00130194
16,305.723,1.59022,1.47619,0.00141,0.52844,0.54784,0.50014,0.37742,1.49535,1.79213,0.00156,0.00128708,0.00128708,0.00128708
17,324.673,1.64265,1.4872,0.00136,0.75318,0.43312,0.54689,0.38995,1.61516,1.62573,0.00182,0.00127222,0.00127222,0.00127222
18,343.676,1.58696,1.46391,0.00133,0.84475,0.40023,0.54106,0.40234,1.45384,1.76194,0.00159,0.00125736,0.00125736,0.00125736
19,362.416,1.58662,1.41412,0.00134,0.79039,0.41698,0.59305,0.46701,1.28033,1.53275,0.00145,0.00124249,0.00124249,0.00124249
20,381.227,1.58461,1.37188,0.00134,0.55849,0.5491,0.58969,0.45755,1.39748,1.45445,0.00149,0.00122763,0.00122763,0.00122763
21,399.844,1.50004,1.25812,0.00124,0.44898,0.56234,0.51984,0.39105,1.44661,1.59887,0.00158,0.00121277,0.00121277,0.00121277
22,418.513,1.51338,1.27338,0.0013,0.55067,0.58376,0.56041,0.39698,1.70802,1.73949,0.00191,0.00119791,0.00119791,0.00119791
23,437.326,1.54493,1.27542,0.0013,0.67446,0.52967,0.60267,0.48135,1.22328,1.49923,0.00125,0.00118305,0.00118305,0.00118305
24,456.089,1.52864,1.36079,0.0013,0.64973,0.56182,0.60186,0.47335,1.22221,1.56975,0.00122,0.00116819,0.00116819,0.00116819
25,474.83,1.47007,1.1827,0.00123,0.65136,0.57735,0.62288,0.46856,1.43228,1.46675,0.00156,0.00115333,0.00115333,0.00115333
26,493.627,1.49721,1.14944,0.00129,0.70087,0.49807,0.57907,0.44849,1.35051,1.54636,0.00146,0.00113846,0.00113846,0.00113846
27,512.384,1.49885,1.19274,0.00123,0.62255,0.55487,0.58308,0.43703,1.47037,1.42362,0.00156,0.0011236,0.0011236,0.0011236
28,531.214,1.50194,1.15055,0.00132,0.66944,0.51327,0.568,0.4484,1.24118,1.44866,0.00134,0.00110874,0.00110874,0.00110874
29,549.939,1.48011,1.1607,0.00127,0.56661,0.54103,0.59297,0.46209,1.21874,1.42501,0.0013,0.00109388,0.00109388,0.00109388
30,568.618,1.45438,1.09368,0.00129,0.85165,0.42612,0.61406,0.46365,1.40411,1.54047,0.00147,0.00107902,0.00107902,0.00107902
31,587.423,1.41925,1.08317,0.00119,0.66735,0.58668,0.60529,0.44018,1.52395,1.32935,0.00167,0.00106416,0.00106416,0.00106416
32,606.415,1.44131,1.065,0.00121,0.52907,0.62454,0.57391,0.4365,1.30967,1.44228,0.0014,0.0010493,0.0010493,0.0010493
33,625.229,1.49662,1.0362,0.00125,0.79008,0.46056,0.57036,0.42417,1.44167,1.7816,0.00156,0.00103443,0.00103443,0.00103443
