epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9134,2.03456,23.66,0.00184,0.00629,0.12433,0.00888,0.00733,1.36022,15.3977,0.00136,7.03983e-05,7.03983e-05,7.03983e-05
2,41.677,1.73696,15.2788,0.00149,0.4933,0.02868,0.02289,0.01997,1.37534,11.5371,0.00147,0.000141198,0.000141198,0.000141198
3,60.5746,1.72734,10.2907,0.00143,0.45589,0.08287,0.05506,0.04446,1.25785,8.63811,0.00131,0.000207038,0.000207038,0.000207038
4,79.3679,1.66172,7.8287,0.0014,0.68805,0.14916,0.1216,0.09715,1.33051,6.65878,0.00139,0.000206711,0.000206711,0.000206711
5,98.1612,1.53289,5.93889,0.00125,0.55491,0.19226,0.15966,0.12769,1.27221,5.46718,0.00129,0.000204615,0.000204615,0.000204615
6,116.936,1.55989,5.0756,0.00127,0.58904,0.2303,0.22124,0.17051,1.33963,4.7332,0.00137,0.000202518,0.000202518,0.000202518
7,135.758,1.54209,4.51597,0.00126,0.63474,0.21169,0.22606,0.18089,1.22537,4.22653,0.00126,0.000200422,0.000200422,0.000200422
8,154.474,1.53097,3.95031,0.00125,0.66567,0.24913,0.24473,0.19351,1.26691,4.00029,0.00129,0.000198326,0.000198326,0.000198326
9,173.382,1.52974,3.62425,0.00126,0.52349,0.23243,0.26252,0.20147,1.29206,3.64217,0.00132,0.000196229,0.000196229,0.000196229
10,192.184,1.47443,3.35757,0.00123,0.42952,0.33495,0.30318,0.2379,1.19399,3.43235,0.0012,0.000194133,0.000194133,0.000194133
11,211.112,1.49486,3.03512,0.00123,0.43406,0.2883,0.29859,0.22816,1.366,3.24316,0.00142,0.000192037,0.000192037,0.000192037
12,229.826,1.447,2.77275,0.0012,0.50112,0.34785,0.35485,0.2709,1.32564,2.97731,0.00137,0.00018994,0.00018994,0.00018994
13,248.674,1.45364,2.57629,0.00118,0.55277,0.3099,0.37012,0.29065,1.11224,2.84196,0.00111,0.000187844,0.000187844,0.000187844
