epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,128.363,1.39793,20.5989,0.00196,0.00773,0.11037,0.01162,0.01005,1.01869,13.1646,0.0019,6.9225e-05,6.9225e-05,6.9225e-05
2,146.955,1.23592,12.884,0.00164,0.51032,0.01409,0.02744,0.0233,0.93793,9.74963,0.0018,0.000138837,0.000138837,0.000138837
3,166.027,1.18344,8.91998,0.00153,0.52885,0.08229,0.05336,0.04272,0.89206,7.44292,0.00169,0.000207043,0.000207043,0.000207043
4,185.422,1.1537,6.59222,0.00147,0.60084,0.12218,0.1019,0.07754,0.88333,5.9362,0.00162,0.000206674,0.000206674,0.000206674
5,204.671,1.07891,5.16209,0.00142,0.51223,0.21231,0.15347,0.12358,0.80912,4.86168,0.00149,0.000204565,0.000204565,0.000204565
6,223.828,1.09493,4.40307,0.00141,0.55183,0.23153,0.19141,0.1463,0.85323,4.15503,0.00153,0.000202457,0.000202457,0.000202457
7,243.002,1.02628,3.76593,0.00131,0.59401,0.23431,0.20804,0.16418,0.83462,3.7731,0.00149,0.000200348,0.000200348,0.000200348
8,261.964,1.01656,3.3009,0.00129,0.45508,0.27754,0.22098,0.17364,0.87214,3.34769,0.00157,0.000198239,0.000198239,0.000198239
9,280.954,1.02707,3.219,0.00131,0.59086,0.2356,0.2391,0.18895,0.83146,3.10066,0.00154,0.00019613,0.00019613,0.00019613
10,299.729,1.02799,2.86686,0.00129,0.46837,0.31716,0.30151,0.24175,0.79612,2.96998,0.00144,0.000194022,0.000194022,0.000194022
11,319.237,0.95733,2.5108,0.00121,0.57158,0.30595,0.30006,0.24355,0.77624,2.77051,0.00143,0.000191913,0.000191913,0.000191913
12,338.29,0.97387,2.40211,0.0012,0.54552,0.37773,0.35142,0.28489,0.76731,2.59411,0.0014,0.000189804,0.000189804,0.000189804
13,357.46,0.91586,2.07349,0.00119,0.42823,0.38736,0.38556,0.3129,0.75889,2.38602,0.00135,0.000187696,0.000187696,0.000187696
14,376.894,0.91505,1.97642,0.00117,0.50507,0.44197,0.44463,0.3568,0.79113,2.16988,0.0014,0.000185587,0.000185587,0.000185587
